style,Formal--Informal,Industrial--Rustic,Maximalist--Minimalist,Traditional--Modern
Art Deco,20,25,25,45
Asian-Inspired,25,75,55,45
Bohemian,90,75,25,25
Coastal,75,75,60,40
Contemporary,25,50,55,75
Cottage,75,80,40,20
Craftsman,75,65,55,25
Eclectic,50,50,25,50
Euro Modern,25,35,65,75
Farmhouse,80,60,55,25
French Country,40,75,35,25
Hollywood Glam,10,80,10,75
Industrial,75,0,65,70
Japandi,55,65,70,65
Mediterranean,55,75,25,40
Mid-Century,50,35,60,75
Minimalist,60,25,100,80
Modern,25,50,55,100
Modern Farmhouse,70,65,50,50
Modern Traditional,25,50,50,50
Mountain West,75,70,55,75
New England,35,65,70,25
Organic Modern,60,75,50,75
Pacific Northwest,75,55,65,75
Rustic,75,100,60,25
Scandinavian,75,50,80,75
Shabby Chic,75,75,35,25
Shaker,60,75,75,25
Southwestern,65,55,50,35
Spanish Mission,65,75,60,20
Traditional,25,75,25,0
Transitional,25,50,50,50
Victorian,5,75,10,15
