style,Formal--Informal,Industrial--Rustic,Maximalist--Minimalist,Traditional--Modern,weight
Art Deco,6.0,0.0,11.5,47.0,0.075435203
Asian-Inspired,16.0,43.0,26.0,38.5,0.069632495
Bohemian,52.0,52.5,13.5,32.0,0.098646035
Coastal,50.5,45.0,35.0,28.5,0.092843327
Contemporary,30.5,28.5,50.0,58.0,0.116054159
Cottage,53.0,65.0,24.5,25.0,0.081237911
Craftsman,34.0,69.5,28.5,21.0,0.087040619
Eclectic,56.0,37.5,18.0,43.0,0.092843327
Euro Modern,22.0,30.0,44.0,56.0,0.069632495
Farmhouse,49.5,66.0,42.0,30.0,0.121856867
French Country,22.5,59.5,33.0,19.5,0.081237911
Hollywood Glam,21.0,36.5,25.5,40.0,0.081237911
Industrial,70.5,28.5,74.0,64.0,0.092843327
Japandi,48.5,48.5,67.5,51.5,0.075435203
Mediterranean,39.0,58.5,43.0,30.5,0.075435203
Mid-Century,55.5,36.5,67.5,61.5,0.116054159
Minimalist,55.0,41.5,74.0,64.5,0.104448743
Modern,49.5,41.0,73.0,74.5,0.127659574
Modern Farmhouse,63.5,63.5,62.5,63.0,0.110251451
Modern Traditional,44.0,40.0,61.5,61.5,0.087040619
Mountain West,63.0,84.0,61.0,47.0,0.069632495
New England,67.5,70.0,58.0,42.5,0.075435203
Organic Modern,67.0,57.5,68.0,77.0,0.081237911
Pacific Northwest,75.5,77.0,67.5,66.0,0.075435203
Rustic,85.0,88.0,61.5,59.5,0.098646035
Scandinavian,63.0,55.5,76.5,72.5,0.110251451
Shabby Chic,89.0,64.5,44.0,54.5,0.075435203
Shaker,55.0,85.0,83.0,42.0,0.069632495
Southwestern,88.0,77.5,55.0,51.0,0.081237911
Spanish Mission,48.0,76.0,46.0,41.0,0.069632495
Traditional,45.0,59.5,56.5,44.5,0.13926499
Transitional,62.5,60.0,64.5,63.5,0.127659574
Victorian,47.5,73.0,50.0,50.0,0.069632495
