style,Formal--Informal,Industrial--Rustic,Maximalist--Minimalist,Traditional--Modern,Global--Local,Nature-Inspired--High Tech
Art Deco,20,25,25,45,50,25
Asian-Inspired,25,75,55,45,50,20
Bohemian,90,75,25,25,50,10
Coastal,75,75,60,40,50,10
Contemporary,25,50,55,75,50,50
Cottage,75,80,40,20,75,5
Craftsman,75,65,55,25,75,10
Eclectic,50,50,25,50,50,25
Euro Modern,25,35,65,75,50,75
Farmhouse,80,60,55,25,70,10
French Country,40,75,35,25,75,0
Hollywood Glam,10,80,10,75,50,20
Industrial,75,0,65,70,50,35
Japandi,55,65,70,65,50,10
Mediterranean,55,75,25,40,50,15
Mid-Century,50,35,60,75,50,25
Minimalist,60,25,100,80,50,20
Modern,25,50,55,100,50,50
Modern Farmhouse,70,65,50,50,75,10
Modern Traditional,25,50,50,50,50,25
Mountain West,75,70,55,75,75,10
New England,35,65,70,25,75,10
Organic Modern,60,75,50,75,50,15
Pacific Northwest,75,55,65,75,75,20
Rustic,75,100,60,25,90,0
Scandinavian,75,50,80,75,50,10
Shabby Chic,75,75,35,25,50,15
Shaker,60,75,75,25,85,0
Southwestern,65,55,50,35,75,5
Spanish Mission,65,75,60,20,50,5
Traditional,25,75,25,0,75,15
Transitional,25,50,50,50,50,25
Victorian,5,75,10,15,50,20
